"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Nationwide Recovery Services, Inc.","GA","Business Associate","501","09/09/2024","Hacking/IT Incident","Network Server","Yes",""
"oficina medica","","Healthcare Provider","2618","09/08/2024","Theft","Desktop Computer, Other Portable Electronic Device","No",""
"Welcome Health","CA","Healthcare Provider","597","09/06/2024","Hacking/IT Incident","Email","No",""
"Centers for Medicare & Medicaid Services","MD","Health Plan","3112815","09/06/2024","Hacking/IT Incident","Network Server","Yes",""
"Seneca Nation Health System","NY","Healthcare Provider","7633","09/06/2024","Hacking/IT Incident","Network Server","No",""
"Guam Seventh-Day Adventist Clinic ","","Healthcare Provider","56635","09/06/2024","Hacking/IT Incident","Email","No",""
"County of Los Angeles Department of Mental Health","CA","Healthcare Provider","2334","09/05/2024","Hacking/IT Incident","Network Server","No",""
"Premier Health Family Care – North and Premier Health Family Care of Vandalia","OH","Healthcare Provider","3092","09/03/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"United Way of Connecticut, Inc.","CT","Business Associate","8039","09/03/2024","Hacking/IT Incident","Email","Yes",""
"Service Access & Management, Inc.","PA","Healthcare Provider","501","09/02/2024","Hacking/IT Incident","Network Server","No",""
"Washoe County School District","NV","Health Plan","1017","08/30/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"EngageMED, Inc ","AR","Business Associate","500","08/30/2024","Hacking/IT Incident","Network Server","Yes",""
"Baptist Health Medical Center Drew County","AR","Healthcare Provider","5207","08/30/2024","Hacking/IT Incident","Network Server","No",""
"Catholic Charities CYO of The Archdiocese of San Francisco","CA","Healthcare Provider","7168","08/30/2024","Hacking/IT Incident","Network Server","No",""
"Minnesota Department of Human Services","MN","Healthcare Provider","4329","08/30/2024","Hacking/IT Incident","Email","No",""
"Illinois Bone & Joint Institute, LLC","IL","Healthcare Provider","182670","08/30/2024","Hacking/IT Incident","Network Server","No",""
"Mount Carmel Behavioral Health ","OH","Healthcare Provider","500","08/30/2024","Hacking/IT Incident","Email","No",""
"Goodwin Living Incorporated ","VA","Healthcare Provider","7170","08/29/2024","Hacking/IT Incident","Email","No",""
"CBIZ Benefits & Insurance Services, Inc.","OH","Business Associate","9103","08/28/2024","Hacking/IT Incident","Network Server","Yes",""
"Panoramic Health","AZ","Business Associate","6228","08/28/2024","Hacking/IT Incident","Email","Yes",""
"Blue Cross and Blue Shield of North Carolina","NC","Business Associate","972","08/27/2024","Hacking/IT Incident","Network Server","Yes",""
"Roper St. Francis Healthcare","SC","Healthcare Provider","4125","08/26/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Okanogan Behavioral HealthCare","WA","Healthcare Provider","1082","08/23/2024","Hacking/IT Incident","Network Server","No",""
"Florida Department of Health ","FL","Healthcare Provider","729699","08/23/2024","Hacking/IT Incident","Network Server","No",""
"Pomona Community Health Center dba ParkTree Community Health Center","CA","Healthcare Provider","40964","08/21/2024","Hacking/IT Incident","Network Server","No",""
"VeriSource Services, Inc.","TX","Business Associate","112726","08/20/2024","Hacking/IT Incident","Network Server","Yes",""
"Acadian Ambulance Service, Inc. ","LA","Healthcare Provider","2896985","08/20/2024","Hacking/IT Incident","Network Server","No",""
"Contents Trader, Inc.","TX","Healthcare Provider","27329","08/20/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Advanced Medical Management, LLC","KS","Healthcare Provider","2815","08/19/2024","Hacking/IT Incident","Email","No",""
"Mid-Columbia Center for Living","OR","Healthcare Provider","4435","08/19/2024","Hacking/IT Incident","Email","No",""
"HAH Group Holding Company, LLC d/b/a “Help At Home""","IL","Healthcare Provider","26744","08/18/2024","Hacking/IT Incident","Network Server","Yes",""
"Baker Places, Inc.","CA","Business Associate","971","08/16/2024","Hacking/IT Incident","Email","Yes",""
"Vasinda's Around the Clock Care Inc. DBA ATC Home Care ","CA","Healthcare Provider","3785","08/16/2024","Hacking/IT Incident","Network Server","No",""
"Behavioral Health Alliance of Rural Pennsylvania ","PA","Health Plan","642","08/16/2024","Hacking/IT Incident","Email","No",""
"Specialty Networks, Inc. ","TN","Business Associate","411037","08/15/2024","Hacking/IT Incident","Network Server","Yes",""
"Carespring Health Care Management LLC","OH","Healthcare Provider","64609","08/15/2024","Hacking/IT Incident","Network Server","No",""
"Fairfield Memorial Hospital Association","IL","Healthcare Provider","25093","08/15/2024","Hacking/IT Incident","Network Server","No",""
"Packaging Corporation of America","IL","Health Plan","783","08/15/2024","Hacking/IT Incident","Network Server","Yes",""
"United Urology Group","MD","Business Associate","10704","08/14/2024","Hacking/IT Incident","Network Server","Yes",""
"University of Connecticut Health Center Finance Corporation (“UConn Health”)","CT","Healthcare Provider","500","08/13/2024","Hacking/IT Incident","Email","No",""
"Julie D. Kinsler DDS LLC dba Kinsler Family Dentistry","IN","Healthcare Provider","5500","08/12/2024","Hacking/IT Incident","Network Server","No",""
"siParadigm LLC","NJ","Healthcare Provider","501","08/09/2024","Hacking/IT Incident","Network Server","No",""
"Turning Point of Central California, Inc.","CA","Healthcare Provider","500","08/09/2024","Hacking/IT Incident","Network Server","No",""
"Monte Nido","FL","Healthcare Provider","41662","08/09/2024","Hacking/IT Incident","Network Server","No",""
"HealthEquity, Inc.","UT","Business Associate","4300000","08/09/2024","Hacking/IT Incident","Network Server","Yes",""
"Gramercy Surgery Center, Inc.","NY","Healthcare Provider","50554","08/09/2024","Hacking/IT Incident","Network Server","No",""
"Dental Specialists of Minnesota, PLLC dba The Dental Specialists","MN","Healthcare Provider","38442","08/09/2024","Hacking/IT Incident","Email","No",""
"The Facial Pain Center, PLLC dba The Facial Pain Center","MN","Healthcare Provider","1894","08/09/2024","Hacking/IT Incident","Email","No",""
"PDG, P.A. dba Park Dental","MN","Healthcare Provider","238667","08/09/2024","Hacking/IT Incident","Email","No",""
"Pemiscot Memorial Health System","MO","Healthcare Provider","33279","08/09/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"PG Dental d/b/a Aire Dental Arts","NY","Healthcare Provider","10200","08/09/2024","Hacking/IT Incident","Network Server","No",""
"Harborview Oral & Facial Surgery Center","MS","Healthcare Provider","3472","08/08/2024","Hacking/IT Incident","Network Server","Yes",""
"Internal Medicine Associates, LLC d/b/a Gastrointestinal Medicine Associates","RI","Healthcare Provider","31835","08/07/2024","Hacking/IT Incident","Network Server","No",""
" Pocahontas Medical Clinic, PA","AR","Healthcare Provider","31216","08/06/2024","Hacking/IT Incident","Network Server","No",""
"Hamilton-Madison House","NY","Healthcare Provider","1114","08/02/2024","Hacking/IT Incident","Network Server","No",""
"Calibrated Healthcare, LLC","CA","Business Associate","6890","08/02/2024","Hacking/IT Incident","Network Server","Yes",""
"Alabama Cardiovascular Group","AL","Healthcare Provider","280534","08/02/2024","Hacking/IT Incident","Network Server","No",""
"Wayne Memorial Hospital","GA","Healthcare Provider","2500","08/02/2024","Hacking/IT Incident","Network Server","No",""
"PRM Management Company, Inc.","FL","Healthcare Provider","500","08/02/2024","Hacking/IT Incident","Email","No",""
"Fraser Child and Family Center ","MN","Healthcare Provider","64131","08/02/2024","Hacking/IT Incident","Network Server","No",""
"Roseland Community Hospital Association","IL","Healthcare Provider","500","08/01/2024","Hacking/IT Incident","Network Server","No",""
"Frilot L.L.C.","LA","Business Associate","501","08/01/2024","Hacking/IT Incident","Network Server","Yes",""
"Providence Pediatrics Manito ","WA","Healthcare Provider","1166","08/01/2024","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Deer Oaks Behavioral Health ","TX","Healthcare Provider","171871","07/31/2024","Hacking/IT Incident","Network Server","No",""
"Special Health Resources of Texas, Inc.","TX","Healthcare Provider","500","07/30/2024","Hacking/IT Incident","Network Server","No",""
"Delta County Memorial Hospital District (Delta Health)","CO","Healthcare Provider","501","07/29/2024","Hacking/IT Incident","Network Server","No",""
"Advantage Orthopedic & Sports Medicine, LLP","OR","Healthcare Provider","1937","07/29/2024","Hacking/IT Incident","Network Server","No",""
"United of Omaha Life Insurance Company","NE","Health Plan","107894","07/26/2024","Hacking/IT Incident","Email","No",""
"University of Alabama at Birmingham School of Nursing","AL","Healthcare Provider","1655","07/26/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"South Western Communications, Inc.","IN","Health Plan","1115","07/26/2024","Hacking/IT Incident","Network Server","No",""
"NeighborHealth","MA","Healthcare Provider","526","07/26/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Surgery Center of Mid Florida","FL","Healthcare Provider","48684","07/24/2024","Hacking/IT Incident","Network Server","No",""
"AMERICAN CLINICAL SOLUTIONS, LLC","FL","Healthcare Provider","300000","07/24/2024","Hacking/IT Incident","Network Server","No",""
"Sutton Dental Arts","OR","Healthcare Provider","4109","07/22/2024","Hacking/IT Incident","Network Server","No",""
"Allcare Medical Management Incorporated","CA","Business Associate","16378","07/22/2024","Hacking/IT Incident","Email","Yes",""
"EMS Department for the Kansas City, Kansas Fire Department   ","KS","Healthcare Provider","501","07/20/2024","Hacking/IT Incident","Network Server","No",""
"Barrett Eye Care","IN","Healthcare Provider","4318","07/19/2024","Hacking/IT Incident","Network Server","No",""
"Arisa Health Incorporated","AR","Healthcare Provider","375436","07/19/2024","Hacking/IT Incident","Network Server","No",""
"Sun City Pediatrics, PA","TX","Healthcare Provider","4500","07/19/2024","Hacking/IT Incident","Network Server","No",""
"Neuro Rehab Associates, Inc. d/b/a Northeast Rehabilitation Hospital Network","NH","Healthcare Provider","501","07/19/2024","Hacking/IT Incident","Network Server","No",""
"Franklin County, Kansas","KS","Healthcare Provider","501","07/19/2024","Hacking/IT Incident","Network Server","No",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","56953","07/19/2024","Hacking/IT Incident","Email","No",""
"Change Healthcare, Inc.","MN","Business Associate","100000000","07/19/2024","Hacking/IT Incident","Network Server","Yes",""
"Kaiser Foundation Hospitals, Northern California and The Permanente Medical Group, Inc. ","CA","Healthcare Provider","3435","07/15/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"The North Cottage Program","MA","Healthcare Provider","8190","07/15/2024","Hacking/IT Incident","Network Server","No",""
"Hospital Auxilio Mutuo ","","Healthcare Provider","500","07/13/2024","Hacking/IT Incident","Network Server","No",""
"Fairfax Radiological Consultants ","VA","Healthcare Provider","3512","07/12/2024","Hacking/IT Incident","Network Server","No",""
"Aveanna Healthcare, LLC","GA","Healthcare Provider","10482","07/12/2024","Unauthorized Access/Disclosure","Email","No",""
"New Jersey Oral & Maxillofacial Surgery ","NJ","Healthcare Provider","74413","07/12/2024","Hacking/IT Incident","Network Server","No",""
"Family Dynamics Counseling Services, Inc. ","WA","Healthcare Provider","4373","07/11/2024","Hacking/IT Incident","Network Server","No",""
"Janna Pharmacy LLC","CA","Healthcare Provider","26372","07/10/2024","Unauthorized Access/Disclosure","Email","No",""
"Meridian Internal Medicine, P.A.","NC","Healthcare Provider","2656","07/10/2024","Hacking/IT Incident","Network Server","No",""
"Smith, Gambrell & Russell LLP","GA","Business Associate","3370","07/09/2024","Hacking/IT Incident","Network Server","Yes",""
"The Medibase Group, Inc.  ","GA","Business Associate","35106","07/05/2024","Hacking/IT Incident","Network Server","Yes",""
"Butler Health Plan, SW Division of OHI","OH","Health Plan","5911","07/05/2024","Hacking/IT Incident","Network Server","Yes",""
"School Employees' Benefit Trust","IN","Health Plan","1371","07/05/2024","Hacking/IT Incident","Network Server","Yes",""
"Palomar Health Medical Group","CA","Healthcare Provider","501","07/03/2024","Hacking/IT Incident","Network Server","No",""
"Sheet Metal Workers Local Union #83 Insurance Fund and Annuity Fund","NY","Health Plan","2186","07/03/2024","Hacking/IT Incident","Email","No",""
"Ascension Health","MO","Healthcare Provider","500","07/03/2024","Hacking/IT Incident","Network Server","No",""
"Patented Acquisition Corporation","OH","Business Associate","12787","07/03/2024","Hacking/IT Incident","Network Server","Yes",""
"Aultman Hospital","OH","Healthcare Provider","6890","07/03/2024","Hacking/IT Incident","Email","No",""
"DaVita Inc.","CO","Healthcare Provider","67443","07/03/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Maryville, Inc.","NJ","Healthcare Provider","501","07/03/2024","Hacking/IT Incident","Email","No",""
"Atlanta Perinatal Consultants, LLP","GA","Healthcare Provider","1508","07/02/2024","Hacking/IT Incident","Network Server","Yes",""
"Marana Health Center, Inc.","AZ","Health Plan","566","07/02/2024","Unauthorized Access/Disclosure","Email","No",""
"Core Dental Health","TN","Healthcare Provider","2349","07/01/2024","Hacking/IT Incident","Email, Network Server","No",""
"AmeriHealth Caritas Delaware","DE","Health Plan","2823","07/01/2024","Hacking/IT Incident","Network Server","Yes",""
"Human Technology Inc., and its affiliates ","TN","Healthcare Provider","24580","07/01/2024","Hacking/IT Incident","Network Server","No",""
"Georgia Kidney Associates, Inc.","GA","Healthcare Provider","9940","06/28/2024","Theft","Other","No",""
"SkinCure Oncology","IL","Business Associate","13434","06/28/2024","Hacking/IT Incident","Email","Yes",""
"Midwest Covenant Home","NE","Healthcare Provider","500","06/28/2024","Hacking/IT Incident","Network Server","No",""
"Ann & Robert H. Lurie Children's Hospital of Chicago","IL","Healthcare Provider","775860","06/27/2024","Hacking/IT Incident","Network Server","No",""
"Mayfield Dental Arts LLC","OH","Healthcare Provider","3318","06/26/2024","Theft","Laptop","No",""
"Providence Mission Heritage Endocrinology","CA","Healthcare Provider","2000","06/26/2024","Unauthorized Access/Disclosure","Desktop Computer","No",""
"Kairos Health Arizona, Inc.","AZ","Business Associate","14364","06/26/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"Memorial Sloan Kettering Cancer Center","NY","Healthcare Provider","12274","06/25/2024","Hacking/IT Incident","Network Server","No",""
"The Mount Kisco Surgery Center LLC d/b/a The Ambulatory Surgery Center of Westchester","NY","Healthcare Provider","22139","06/25/2024","Hacking/IT Incident","Email","No",""
"MD Now Medical Centers, Inc. ","FL","Healthcare Provider","500","06/25/2024","Hacking/IT Incident","Network Server","No",""
"Geisinger","PA","Healthcare Provider","1276026","06/21/2024","Unauthorized Access/Disclosure","Network Server","Yes",""
"Pinnacle Orthopaedics & Sports Medicine Specialists LLC","GA","Healthcare Provider","1100","06/21/2024","Hacking/IT Incident","Network Server","No",""
"Altoona Logan Township Mobile Medical Emergency Department Authority","PA","Healthcare Provider","6169","06/21/2024","Hacking/IT Incident","Network Server","No",""
"Texas Retina Associates","TX","Healthcare Provider","312867","06/21/2024","Hacking/IT Incident","Network Server","No",""
"The Lash Group, LLC","PA","Business Associate","15196","06/21/2024","Hacking/IT Incident","Network Server","Yes",""
"Aultman Hospital","OH","Healthcare Provider","500","06/21/2024","Hacking/IT Incident","Email","No",""
"Wisconsin Department of Health Services ","WI","Healthcare Provider","19150","06/21/2024","Hacking/IT Incident","Network Server","Yes",""
"Mobile Medical Response, Inc.","MI","Healthcare Provider","700","06/21/2024","Theft","Paper/Films","Yes",""
"County of Los Angeles Department of Health Services","CA","Healthcare Provider","41444","06/21/2024","Hacking/IT Incident","Email","No",""
"Ambulnz Holdings, LLC","NY","Healthcare Provider","4742","06/21/2024","Hacking/IT Incident","Network Server","No",""
"Access Sports Medicine & Orthopaedics","NH","Healthcare Provider","88044","06/20/2024","Hacking/IT Incident","Network Server","No",""
"Carroll County Memorial Hospital","MO","Healthcare Provider","7021","06/18/2024","Hacking/IT Incident","Email","No",""
"Radiology and Imaging Specialists","FL","Healthcare Provider","37210","06/17/2024","Hacking/IT Incident","Email","No",""
"OB GYN Specialists of Lima Inc","OH","Healthcare Provider","1241","06/17/2024","Improper Disposal","Paper/Films","No",""
"Neurobehavioral Medicine Consultants, P.C.","OH","Healthcare Provider","18182","06/14/2024","Hacking/IT Incident","Network Server","No",""
"Walmart Inc.","AR","Healthcare Provider","1267","06/14/2024","Unauthorized Access/Disclosure","Network Server","No",""
"Consulting Radiologists LTD.","MN","Healthcare Provider","583824","06/14/2024","Hacking/IT Incident","Network Server","No",""
"Heart South Cardiovascular Group","AL","Healthcare Provider","501","06/13/2024","Hacking/IT Incident","Network Server","No",""
"Aptihealth, Inc.","NY","Healthcare Provider","19805","06/12/2024","Hacking/IT Incident","Network Server","Yes",""
"Benefit Management LLC","KS","Business Associate","6272","06/12/2024","Hacking/IT Incident","Email, Network Server","Yes",""
"IBEW LOCAL 236 WELFARE FUND","CT","Health Plan","3217","06/11/2024","Hacking/IT Incident","Network Server","Yes",""
"WAREHOUSE EMPLOYEES LOCAL 169 CONTRIBUTING EMPLOYERS HEALTH & WELFARE FUND","PA","Health Plan","1061","06/11/2024","Hacking/IT Incident","Network Server","Yes",""
"ASBESTOS WORKERS LOCAL 42 WELFARE PLAN","GA","Health Plan","520","06/11/2024","Hacking/IT Incident","Network Server","Yes",""
"Signature Performance, Inc.","NE","Business Associate","106540","06/10/2024","Hacking/IT Incident","Network Server","Yes",""
"Looking Glass Counseling","MA","Healthcare Provider","2739","06/10/2024","Unauthorized Access/Disclosure","Network Server","No",""
"CRG Lynwood, LLC, d/b/a Lynwood Manor ","MI","Healthcare Provider","6566","06/10/2024","Hacking/IT Incident","Network Server","No",""
"Community Alliance Rehabilitation Services","NE","Healthcare Provider","10750","06/07/2024","Hacking/IT Incident","Network Server","No",""
"Best Health Physical Therapy, LLC        ","CT","Healthcare Provider","3764","06/06/2024","Hacking/IT Incident","Network Server, Other","No",""
"IACT Health","GA","Healthcare Provider","676","06/06/2024","Hacking/IT Incident","Network Server","Yes",""
"Insurance ACE/Humana Inc.","KY","Health Plan","15003","06/05/2024","Unauthorized Access/Disclosure","Paper/Films","No",""
"Panorama Eyecare","CO","Healthcare Provider","377911","06/05/2024","Hacking/IT Incident","Network Server","No",""
"Angels Neurological Centers, P.C.","MA","Healthcare Provider","934","06/05/2024","Hacking/IT Incident","Electronic Medical Record","No",""
"Financial Business and Consumer Solutions, Inc.","PA","Business Associate","117567","06/04/2024","Hacking/IT Incident","Network Server","Yes",""
"Wilson & Company, Inc., Engineers & Architects Health and Welfare Benefit Plan","NM","Health Plan","1867","06/04/2024","Hacking/IT Incident","Network Server","No",""
"Woodfords Family Services ","ME","Healthcare Provider","500","06/03/2024","Hacking/IT Incident","Desktop Computer, Electronic Medical Record, Email, Network Server","No",""
"Mending Minds LLC dba Walnut Creek Psychiatry","IA","Healthcare Provider","733","06/01/2024","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Delta Specialty Hospital","TN","Healthcare Provider","500","05/31/2024","Hacking/IT Incident","Email","No",""
"Crestwyn Behavioral Health Hospital, Inc.","TN","Healthcare Provider","500","05/31/2024","Hacking/IT Incident","Email","No",""
"Easterseals Central Illinois","IL","Healthcare Provider","500","05/31/2024","Hacking/IT Incident","Network Server","No",""
